Name,Address,Cuisines,Take_Out,Phone,Saturday Opening time,Saturday Closing time,Sunday Opening time,Sunday Closing time
Lolo's seafood shack,"303 W 116Th St New York City, Ny 10026-2008",Caribbean; Seafood; Vegetarian Friendly,Yes,+1 646-649-3356,12:00 PM,09:45 PM,12:00 PM,08:30 PM
Peacock alley,301 Park Avewaldorf Astorianew York Ny 10022,Seafood; Vegetarian Friendly; American,Yes,+1 212-872-1275,Closed,Closed,Closed,Closed
Empellón - taqueria,"230 W 4Th St New York City, Ny 10014-3120",Gluten Free Options; Mexican; Latin,Yes,+1 212-367-0999,11:45 AM,12:00 AM,11:45 AM,12:00 AM
Nerai,"55 E 54Th St New York City, Ny 10022-4206",Seafood; Mediterranean; Greek,Yes,+1 212-759-5554,05:00 PM,10:30 PM,05:00 PM,09:30 PM
Rocco steakhouse,"72 Madison Ave New York City, Ny 10016-8731",Seafood; Italian; American,Yes,+1 212-696-9660,11:00 AM,11:00 PM,11:00 AM,10:30 PM
Txikito,"240 9Th Ave New York City, Ny 10001-6602",Basque; Tapas/Small Plates,No,+1 212-242-4730,12:00 PM,11:30 PM,05:00 PM,11:00 PM
Bobby van's central park south,"40 Central Park S New York City, Ny 10019-1633",Vegetarian Friendly; Steakhouse; American,Yes,+1 212-369-4000,11:00 AM,11:00 PM,11:00 AM,11:00 PM
Ruth's chris steak house,"148 W 51St St New York City, Ny 10019-6813",Gluten Free Options; Steakhouse; American,Yes,+1 212-245-9600,04:00 PM,11:00 PM,04:00 PM,10:00 PM
V-nam cafe,"20 1St Ave New York City, Ny 10009-7907",Coffee & Tea; Vietnamese; Sandwiches,Yes,+1 212-780-6020,11:00 AM,02:00 AM,11:00 AM,12:00 AM
Trademark taste + grind,"38 W 36Th St New York City, Ny 10018-8078",Gluten Free Options; Vegetarian Friendly; American,Yes,+1 646-858-2320,07:00 AM,11:00 PM,07:00 AM,11:00 PM
Becco,"355 W 46Th St New York City, Ny 10036-3810",Italian; Vegetarian Friendly; Vegan Options,No,+1 212-397-7597,11:30 AM,12:00 AM,12:00 PM,10:00 PM
Cookshop,"156 10Th Ave New York City, Ny 10011-4758",Vegan Options; Vegetarian Friendly; American,Yes,+1 212-924-4440,10:30 AM,10:00 PM,10:30 AM,10:00 PM
Jongro bbq,"22 W 32Nd St New York City, Ny 10001-3807",Barbecue; Korean; Asian,Yes,+1 212-473-2233,11:30 AM,04:00 AM,11:30 AM,02:00 AM
Balvanera,"152 Stanton St New York City, Ny 10002-1603",Latin; Steakhouse; Argentinean,Yes,+1 212-533-3348,11:00 AM,12:00 AM,11:00 AM,10:00 PM
Abc cocina,"38 E 19Th St New York City, Ny 10003",Spanish; Mexican; Latin,No,+1 212-475-5829,05:30 PM,11:30 PM,05:30 PM,10:30 PM
Abc cocina,"38 E 19Th St New York City, Ny 10003",Spanish; Mexican; Latin,Yes,+1 212-475-5829,05:30 PM,11:00 PM,05:30 PM,10:30 PM
Club macanudo,"26 E 63Rd St New York City, Ny 10065-8030",International; American,No,+1 212-752-8200,12:00 PM,02:00 AM,12:00 PM,10:00 PM
Shun lee palace,"155 E 55Th St New York City, Ny 10022-4038",Chinese; Vegetarian Friendly; Asian,Yes,+1 212-371-8844,12:00 PM,11:00 PM,12:00 PM,10:30 PM
Catch,"21 9Th Ave New York City, Ny 10014-1203",Seafood; Japanese; American,No,+1 212-392-5978,11:00 AM,12:00 AM,11:00 AM,11:30 PM
Havana social - hell’s kitchen,"688 10Th Ave New York City, Ny 10019-7104",Caribbean; Latin; Cuban,Yes,+1 212-956-2155,12:00 PM,12:00 AM,12:00 PM,12:00 AM
Kang ho dong baekjeong,"1 E 32Nd St New York City, Ny 10016-5401",Barbecue; Korean; Asian,No,+1 212-966-9839,11:30 AM,06:00 AM,11:30 AM,02:00 AM
Rock center cafe,Rockefeller Ctrlower Levelnew York Ny 10001,Vegan Options; Vegetarian Friendly; American,No,+1 212-332-7620,10:00 AM,12:00 AM,10:00 AM,11:00 PM
Zio ristorante,"17 W 19Th St New York City, Ny 10011-4332",Italian; Gluten Free Options; Mediterranean,Yes,+1 212-352-1700,11:30 AM,11:30 PM,11:30 AM,11:00 PM
St. anselm,"355 Metropolitan Ave Brooklyn, Ny 11211-3309",Wine Bars; Steakhouses; American (New),No,(718) 384-5054,05:00 PM,12:00 PM,05:00 PM,11:00 PM
Injera ethiopian restaurant,"11 Abingdon Sq New York City, Ny 10014-1875",Ethiopian; Vegetarian Friendly; African,Yes,+1 212-206-9330,11:30 AM,02:00 AM,11:30 AM,12:30 AM
Lucien restaurant,"14 1St Ave New York City, Ny 10009-7904",European; French,No,+1 212-260-6481,11:00 AM,02:00 AM,11:00 AM,02:00 AM
Jane,"100 W Houston St New York City, Ny 10012-2547",Gluten Free Options; Vegetarian Friendly; American,Yes,+1 212-254-7000,09:00 AM,12:00 AM,09:00 AM,10:00 PM
Juliana's pizza,"19 Old Fulton St Brooklyn, Ny 11201-1322",Pizza,Yes,+1 718-596-6700,11:30 AM,10:00 PM,11:30 AM,10:00 PM
Norma's,"119 W 56Th St New York City, Ny 10019-4000",Vegan Options; Vegetarian Friendly; American,No,+1 212-708-7460,07:30 AM,03:00 PM,07:30 AM,03:00 PM
Vintry wine and whiskey,"57 Stone St New York City, Ny 10004-2604",Wine Bar; American; Bar,No,+1 212-480-9800,12:00 PM,04:00 AM,12:00 PM,01:00 AM
Joe jr. restaurant,"167 3Rd Ave New York City, Ny 10003-2522",Diners; Breakfast & Brunch; American (Traditional),Yes,+1 212-473-5150,06:00 AM,11:30 PM,06:00 AM,11:30 PM
Nino's restaurant,"1354 1St Ave New York City, Ny 10021-4426",Italian; Gluten Free Options,Yes,+1 212-988-0002,04:00 PM,11:30 PM,04:00 PM,10:00 PM
Hillstone restaurant,"153 E 53Rd St New York City, Ny 10022-4611",Vegetarian Friendly; Sushi; American,Yes,+1 212-888-3828,12:00 PM,11:00 PM,12:00 PM,10:00 PM
Kingsley,"190 Avenue B New York City, Ny 10009-3600",Wine Bars; Cocktail Bars; American (New),No,+1 212-674-4500,12:00 PM,12:00 AM,12:00 PM,12:00 AM
Calle dao - bryant park,"38 W 39Th St New York City, Ny 10018-3800",Chinese; Asian; Latin,Yes,+1 212-221-9002,11:00 AM,12:00 AM,11:00 AM,11:00 PM
Mimi,"185 Sullivan St New York City, Ny 10012-2508",French,No,+1 212-418-1260,06:00 PM,02:00 AM,12:00 PM,04:00 PM
Tevere kosher cuisine of rome,"155 E 84Th St New York City, Ny 10028-2060",Italian; Kosher,Yes,+1 212-744-0210,08:00 PM,11:00 PM,02:00 PM,10:00 PM
Porteno restaurant,"299 10Th Ave New York City, Ny 10001-7015",Vegetarian Friendly; Argentinean; Latin,Yes,+1 212-695-9694,04:30 PM,11:00 PM,04:30 PM,10:30 PM
Boqueria,"171 Spring St New York City, Ny 10012-3843",Vegetarian Friendly; Spanish; Mediterranean,Yes,+1 212-343-4255,11:00 AM,11:30 PM,11:00 AM,10:30 PM
Prince street pizza,"27 Prince St New York City, Ny 10012-3551",Pizza; Italian,Yes,+1 212-966-1960,11:00 AM,12:30 AM,11:00 AM,12:30 AM
Suteishi,"24 Peck Slip New York City, Ny 10038-1750",Japanese; Sushi; Asian,Yes,+1 212-766-2344,11:30 AM,11:30 PM,11:30 AM,10:00 PM
Omen azen,"113 Thompson St New York City, Ny 10012-3714",Japanese; Sushi; Asian,No,+1 212-925-8923,06:00 PM,12:00 AM,06:00 PM,12:00 AM
Clinton st. baking company & restaurant,"4 Clinton St New York City, Ny 10002-1703",Vegetarian Friendly; American; Cafe,Yes,+1 646-602-6263,06:00 PM,11:00 PM,09:00 AM,06:00 PM
Morandi,"211 Waverly Pl New York City, Ny 10014-2737",Italian; Vegetarian Friendly; Gluten Free Options,Yes,+1 212-627-7575,10:00 AM,12:00 AM,10:00 AM,12:00 AM
Il cantinori,"32 E 10Th St New York City, Ny 10003-6238",Italian; Vegetarian Friendly; Gluten Free Options,No,+1 212-673-6044,05:00 PM,12:00 AM,05:00 PM,11:00 PM
Peacefood cafe downtown,"41 E 11Th St New York City, Ny 10003-4602",Vegetarian Friendly; American; Cafe,Yes,+1 212-979-2288,10:00 AM,10:00 PM,10:00 AM,10:00 PM
Carroll place,"157 Bleecker St New York City, Ny 10012-1625",Pizza; American; Gastropub,Yes,+1 212-260-1700,11:00 AM,02:00 AM,11:00 AM,12:00 AM
Le parisien,"163 E 33Rd St New York City, Ny 10016-4644",Gluten Free Options; European; French,No,+1 212-889-5489,12:00 PM,10:30 PM,12:00 PM,09:00 PM
Posto thin crust pizza,"310 2Nd Ave New York City, Ny 10003-2724",Pizza; Italian,Yes,+1 212-716-1200,12:00 AM,11:59 PM,12:00 PM,11:00 PM
Vanessa's dumpling house,"118 Eldridge St New York City, Ny 10002-4418",Chinese; Fast Food; Asian,Yes,+1 212-625-8008,07:30 AM,10:30 PM,07:30 AM,10:00 PM
Al fiori,"400 5Th Ave New York City, Ny 10018-2753",Seafood; Italian; French,No,+1 212-613-8660,05:00 PM,11:30 PM,08:00 AM,10:30 PM
Docks oyster bar and seafood grill,"633 3Rd Ave New York City, Ny 10017-6706",Seafood; Gluten Free Options; American,Yes,+1 212-986-8080,11:00 AM,11:00 PM,11:00 AM,11:00 PM
Trattoria il mulino,"36 E 20Th St New York City, Ny 10003-1315",Italian; Gluten Free Options,Yes,+1 212-777-8448,11:30 AM,12:00 AM,11:30 AM,11:00 PM
Cafe katja,"79 Orchard St New York City, Ny 10002-4535",Austrian; European; German,Yes,+1 212-219-9545,05:00 PM,12:00 AM,05:00 PM,11:00 PM
Keens steakhouse,"72 West 36Th Street New York City, Ny 10018-8025",Gluten Free Options; Steakhouse; American,Yes,+1 212-947-3636,05:00 PM,10:30 PM,05:00 PM,09:30 PM
Oatmeals,"120 W 3Rd St New York City, Ny 10012-1235",Vegetarian Friendly; American; Cafe,Yes,+1 646-360-3570,08:00 AM,05:00 PM,08:00 AM,05:00 PM
Gaonnuri,"1250 Broadway New York City, Ny 10001-3701",Barbecue; Korean; Asian,No,+1 212-971-9045,05:00 PM,10:00 PM,05:00 PM,10:00 PM
Claudette,"24 5Th Ave New York City, Ny 10011-8858",Vegetarian Friendly; European; French,No,+1 212-868-2424,05:30 PM,11:00 PM,05:30 PM,11:00 PM
Triomphe,"49 W 44Th St New York City, Ny 10036-6613",Grill; European; French,Yes,+1 212-453-4233,05:00 PM,11:00 PM,07:00 AM,12:00 PM
Tartinery hudson eats,"225 Liberty St New York City, Ny 10281-1048",Japanese; American; Fast Food,Yes,+1 646-755-8484,10:00 AM,09:00 PM,11:00 AM,07:00 PM
Azalea ristorante,"224 W 51St St New York City, Ny 10019-6202",Italian; Vegetarian Friendly; Gluten Free Options,No,+1 212-262-0105,12:00 PM,12:00 AM,12:00 PM,11:30 PM
The writing room,"1706 2Nd Ave New York City, Ny 10128-3201",Gluten Free Options; Vegetarian Friendly; American,Yes,+1 212-335-0075,12:00 AM,11:30 PM,11:00 AM,10:00 PM
Blue ribbon sushi izakaya,"187 Orchard St New York City, Ny 10002-1417",Japanese; Sushi; American,Yes,+1 212-466-0404,07:00 AM,02:00 AM,07:00 AM,12:00 AM
Koi restaurant,"40 W 40Th St New York City, Ny 10018-2602",Seafood; Japanese; Sushi,No,+1 212-921-3330,05:30 PM,12:00 AM,06:00 PM,10:00 PM
Blvd bistro,"239 Lenox Avenue New York City, Ny 10027-6341",Gluten Free Options; Vegetarian Friendly; American,Yes,+1 212-678-6200,09:00 AM,11:00 PM,10:00 AM,06:00 PM
Chez moi,"135 Atlantic Ave Brooklyn, Ny 11201-5583",Desserts; Cocktail Bars; French,Yes,+1 347-227-8337,10:00 AM,01:00 AM,10:00 AM,12:00 AM
Stk midtown,"1114 Avenue Of The Americas New York City, Ny 10036-7703",Cocktail Bars; Steakhouses; American (New),No,+1 646-624-2455,05:00 PM,12:00 AM,05:00 PM,12:00 AM
Redeye grill,"890 7Th Avenue At 56Th Street New York City, Ny 10019-3203",Seafood; Vegetarian Friendly; American,Yes,+1 212-541-9000,11:30 AM,11:30 PM,11:00 AM,10:30 PM
Crocodile lounge,"325 E 14Th St New York City, Ny 10003-4255",Pizza; American; Bar,No,+1 212-477-7747,12:00 PM,04:00 AM,12:00 PM,04:00 AM
Lafayette grand cafe & bakery,"380 Lafayette St New York City, Ny 10003-6933",Vegetarian Friendly; European; French,Yes,+1 212-533-3000,08:00 AM,11:00 PM,08:00 AM,10:00 PM
Megu,"355 W 16Th St New York City, Ny 10011-5902",Japanese; Sushi; Asian,Yes,+1 212-885-9400,05:00 PM,02:00 AM,05:00 PM,12:00 AM
Woorijip authentic korean food,"12 W 32Nd St New York City, Ny 10001-3813",Vegetarian Friendly; Korean; Asian,Yes,+1 212-244-1115,08:00 AM,03:00 AM,Closed,Closed
Zuma new york,"261 Madison Ave New York City, Ny 10016-2303",Japanese; Sushi; Asian,No,+1 212-544-9862,05:30 PM,11:30 PM,05:30 PM,10:30 PM
Brooklyn bagel & coffee company,"286 8Th Ave New York City, Ny 10001-4872",Vegetarian Friendly; American; Cafe,Yes,+1 212-924-2824,06:30 AM,10:00 PM,06:30 AM,10:00 PM
Dinosaur bar-b-que,"700 W 125Th St New York City, Ny 10027-2314",American; Barbecue; Bar,Yes,+1 212-694-1777,11:30 AM,12:00 AM,12:00 PM,10:00 PM
La boite en bois,"75 W 68Th St New York City, Ny 10023-5306",Gluten Free Options; European; French,Yes,+1 212-874-2705,11:30 AM,11:00 PM,11:30 AM,10:30 PM
Socarrat paella bar - midtown east,"953 2Nd Ave New York City, Ny 10022-7757",Spanish; Wine Bars; Tapas/Small Plates,Yes,+1 212-759-0101,11:30 AM,11:30 PM,11:30 AM,11:00 PM
Temple court,"5 Beekman St New York City, Ny 10038-2206",Breakfast & Brunch; Bars; American (New),No,+1 212-658-1848,06:30 AM,10:45 PM,06:30 AM,10:00 PM
Osteria al doge,"142 W 44Th St New York City, Ny 10036-4013",Italian; Vegetarian Friendly; Vegan Options,Yes,+1 212-944-3643,11:00 AM,10:30 PM,11:00 AM,10:30 PM
Rucola,"190 Dean St Brooklyn, Ny 11217-2212",Italian; Vegetarian Friendly; Gluten Free Options,No,+1 718-576-3209,10:00 AM,12:00 AM,10:00 AM,12:00 AM
Nano ecuadorian kitchen,"691 10Th Ave New York City, Ny 10036-2935",South American; Ecuadorean; Latin,Yes,+1 646-649-4678,12:00 PM,09:00 PM,12:00 PM,07:00 PM
Paulie gee's,"60 Greenpoint Ave Brooklyn, Ny 11222-1504",Pizza; Italian; Vegetarian Friendly,No,+1 347-987-3747,05:00 PM,11:00 PM,05:00 PM,10:00 PM
Soigne restaurant & wine bar,"486 6Th Ave New York City, Ny 11215-4018",Wine Bar; Contemporary; American,No,+1 718-369-4814,05:00 PM,11:00 PM,11:00 AM,09:00 PM
La lanterna di vittorio,"129 Macdougal St New York City, Ny 10012-1076",Pizza; Italian; Vegetarian Friendly,Yes,+1 212-529-5945,10:00 AM,03:00 AM,10:00 AM,02:00 AM
Balaboosta,"214 Mulberry St New York City, Ny 10012-4130",Israeli; Middle Eastern; Mediterranean,Yes,+1 212-966-7366,05:30 PM,11:00 PM,05:30 PM,10:00 PM
Bagels & schmear,"114 E 28Th St New York City, Ny 10016-8402",Vegetarian Friendly; American; Cafe,Yes,+1 212-725-7873,05:30 AM,04:00 PM,05:30 AM,04:00 PM
Coppelia,"207 W 14Th St New York City, Ny 10011-7143",Cuban; Central American; Latin,Yes,+1 212-858-5001,12:00 AM,11:59 PM,12:00 AM,11:59 PM
Brunetti pizza,"626 Hudson St New York City, Ny 10014-5115",Wine Bar; Italian; Pizza,Yes,+1 212-255-5699,12:00 PM,11:00 PM,12:00 PM,10:00 PM
Gemma,"335 Bowery New York City, Ny 10003-7138",Italian; Vegetarian Friendly; Vegan Options,Yes,+1 212-505-9100,07:00 AM,01:00 AM,07:00 AM,12:00 AM
Erminia italian restaurant,"250 E 83Rd St New York City, Ny 10028-2817",Italian,Yes,+1 212-879-4284,05:00 PM,11:00 PM,05:00 PM,10:00 PM
North end grill,"104 N End Ave New York City, Ny 10282-1236",Gluten Free Options; Vegetarian Friendly; American,Yes,+1 646-747-1600,11:00 AM,10:30 PM,Closed,Closed
Uncle boon's,"7 Spring St New York City, Ny 10012-4224",Vegetarian Friendly; Thai; Asian,Yes,+1 646-370-6650,05:30 PM,12:00 AM,11:30 AM,10:00 PM
John's of bleecker street,"278 Bleecker St New York City, Ny 10014-4105",Pizza; Italian; Vegetarian Friendly,Yes,+1 212-243-1680,11:30 AM,12:00 PM,11:30 AM,11:00 PM
Casellula,"401 W 52Nd St New York City, Ny 10019-5625",Wine Bar; Vegetarian Friendly; Gluten Free Options,No,+1 212-247-8137,05:00 PM,01:00 AM,05:00 PM,01:00 AM
Yuba restaurant,"105 E 9Th St New York City, Ny 10003-5434",Japanese; Sushi; Asian,Yes,+1 212-777-8188,12:00 PM,11:30 PM,05:00 PM,10:30 PM
Morton's the steakhouse,"551 5Th Ave New York City, Ny 10176-0001",Gluten Free Options; Diner; American,No,+1 212-972-3315,05:00 PM,11:00 PM,05:00 PM,10:00 PM
Momofuku ma peche,Chambers Hotel15 W 56Th Stnew York Ny 10019,International; Contemporary; Asian,Yes,+1 212-757-5878,05:00 PM,11:00 PM,05:30 PM,10:00 PM
The edge harlem,"101 Edgecombe Ave New York City, Ny 10030-1901",Caribbean; Jamaican; American,Yes,+1 212-939-9688,11:00 AM,11:00 PM,11:00 AM,10:00 PM
Rotisserie georgette,"14 E 60Th St New York City, Ny 10022-1006",Gluten-Free; Bars; French,Yes,+1 212-390-8060,05:45 PM,11:00 PM,Closed,Closed
Ootoya times square,"141 W 41St St New York, Ny 10036 New York City, Ny 10036",Japanese; Sushi; Asian,Yes,+1 212-704-0833,05:30 PM,10:30 PM,05:30 PM,10:30 PM
Buvette gastrotheque,"42 Grove St New York City, Ny 10014-5310",European; Cafe; French,No,+1 212-255-3590,08:00 AM,02:00 AM,08:00 AM,02:00 AM
King cole bar,2 E 55Th Stthe St. Regis Hotelnew York Ny 10022,International; Contemporary; American,No,+1 212-339-6857,07:00 AM,11:00 PM,07:00 AM,11:00 PM
King cole bar,"2 E 55Th St New York City, Ny 10022-3103",International; Contemporary; American,Yes,+1 212-339-6857,07:00 AM,11:00 PM,07:00 AM,11:00 PM
Luzzo’s,"211 1St Ave New York City, Ny 10003-2982",Pizza; Italian,Yes,+1 212-473-7447,12:00 PM,12:00 AM,12:00 PM,11:00 PM
Blacktail,"22 Battery Pl New York City, Ny 10004-1002",Cuban; Bar; Latin,No,+1 212-785-0153,05:00 PM,02:00 AM,05:00 PM,02:00 AM
Arts and crafts beer parlor,"26 W 8Th St New York City, Ny 10011-9023",Pub; Bar,No,+1 646-678-5263,02:00 PM,01:00 AM,02:00 PM,11:00 PM
Miriam,"79 5Th Ave Brooklyn, Ny 11217-3201",Israeli; Middle Eastern; Mediterranean,Yes,+1 718-622-2250,10:00 AM,11:00 PM,10:00 AM,10:00 PM
Felidia,"243 E 58Th St New York City, Ny 10022-1201",Italian; Vegetarian Friendly; Gluten Free Options,No,+1 212-758-1479,05:00 PM,11:30 PM,04:00 PM,10:00 PM
Molyvos,"871 7Th Ave New York City, Ny 10019-3923",Seafood; Mediterranean; Greek,Yes,+1 212-582-7500,12:00 PM,11:00 PM,12:00 PM,10:00 PM
Vai restaurant,"429 Amsterdam Ave New York City, Ny 10024-5813",Italian; Wine Bars; Mediterranean,Yes,+1 212-362-4500,11:00 AM,11:00 PM,11:00 AM,03:00 PM
Philippe by philippe chow,"33 E 60Th St New York City, Ny 10022-1020",Chinese; Asian,Yes,+1 212-644-8885,12:00 PM,12:00 AM,02:00 PM,11:00 PM
Tanner smith's,"204 W 55Th St New York City, Ny 10019-5240",Pub; American; Bar,No,+1 646-590-2034,11:00 AM,04:00 AM,11:00 AM,04:00 AM
Baker & co,"259 Bleecker St New York City, Ny 10014-4103",Italian; Vegetarian Friendly; European,Yes,+1 212-255-1234,10:30 AM,11:45 PM,10:30 AM,10:45 PM
Periyali,"35 W 20Th St New York City, Ny 10011-3709",Vegetarian Friendly; Mediterranean; Greek,No,+1 212-463-7890,05:00 PM,11:00 PM,05:00 PM,10:00 PM
Shu jiao fu zhou cuisine restaurant,"118 Eldridge St New York City, Ny 10002-4418",Chinese,Yes,+1 212-625-2532,09:30 AM,09:30 PM,09:30 AM,09:30 PM
Nobu downtown,"195 Broadway New York City, Ny 10007-3100",Seafood; Japanese; Sushi,No,+1 212-219-0500,05:30 PM,11:15 PM,05:30 PM,10:15 PM
Barney greengrass,"541 Amsterdam Ave New York City, Ny 10024-2803",Vegetarian Friendly; American; Delicatessen,Yes,+1 212-724-4707,08:30 AM,05:00 PM,08:30 AM,05:00 PM
Trattoria dell'arte,"900 7Th Ave New York City, Ny 10106-0200",Italian; Vegetarian Friendly; Vegan Options,Yes,+1 212-245-9800,12:00 PM,12:00 AM,11:00 AM,10:30 PM
Rosa mexicano - lincoln center,"61 Columbus Ave New York City, Ny 10023-6901",Central American; Mexican; Latin,Yes,+1 212-977-7700,11:30 AM,11:30 PM,11:30 AM,10:30 PM
Chikarashi,"227 Canal St New York City, Ny 10013-4112",Seafood; Japanese; Hawaiian,Yes,+1 646-649-5965,11:30 AM,09:00 PM,12:00 PM,04:00 PM
Amma,"246 E 51St St New York City, Ny 10022-6513",Vegan Options; Vegetarian Friendly; Indian,Yes,+1 212-644-8330,12:30 PM,10:30 PM,12:30 PM,10:30 PM
Pisillo italian panini,"97 Nassau St New York City, Ny 10038-2703",Italian; Vegetarian Friendly; Fast Food,Yes,+1 212-227-3104,11:00 AM,06:00 PM,11:00 AM,06:00 PM
Buenos aires,"513 E 6Th St New York City, Ny 10009-6621",Steakhouse; Argentinean; Latin,Yes,+1 212-228-2775,12:00 PM,12:00 AM,12:00 PM,12:00 AM
The bar room,"9 W 53Rd St New York City, Ny 10019-5401",Vegetarian Friendly; American; French,No,+1 212-333-1220,11:30 AM,10:30 PM,11:30 AM,03:00 PM
The modern,"9 W 53Rd St New York City, Ny 10019-5401",Vegetarian Friendly; American; French,No,+1 212-333-1220,11:30 AM,10:30 PM,Closed,Closed
The bar room,"9 W 53Rd St New York City, Ny 10019-5401",Vegetarian Friendly; American; French,No,+1 212-333-1220,11:30 AM,10:30 PM,11:30 AM,03:00 PM
The modern,"9 W 53Rd St New York City, Ny 10019-5401",Vegetarian Friendly; American; French,No,+1 212-333-1220,11:30 AM,10:30 PM,Closed,Closed
New leaf restaurant & bar,"1 Margaret Corbin Dr New York City, Ny 10040-3761",Gluten Free Options; Vegetarian Friendly; American,Yes,+1 212-568-5323,11:00 AM,09:30 PM,11:00 AM,03:30 PM
Mezetto,"161 E Houston St New York City, Ny 10002-1004",Vegetarian Friendly; Middle Eastern; Mediterranean,Yes,+1 212-933-4587,11:00 AM,02:00 AM,11:00 AM,12:00 AM
Alcala restaurant,"246 E 44Th St New York City, Ny 10017-4357",Vegetarian Friendly; Spanish; Mediterranean,Yes,+1 212-370-1866,03:30 PM,12:00 AM,05:00 PM,09:30 PM
Tiny's giant sandwich shop,"129 Rivington St New York City, Ny 10002-2361",Vegetarian Friendly; American; Cafe,Yes,+1 212-982-1690,09:00 AM,10:00 PM,09:00 AM,10:00 PM
Bengal tiger indian food,"58 W 56Th St Fl 2 New York City, Ny 10019-3820",Vegetarian Friendly; Indian; Asian,Yes,+1 212-265-2703,11:30 AM,10:30 PM,11:30 AM,10:00 PM
Emilio's ballato,"55 E Houston St New York City, Ny 10012-2712",Italian,Yes,+1 212-274-8881,12:00 PM,12:00 AM,12:00 PM,11:00 PM
Due restaurant,"1396 3Rd Ave New York City, Ny 10075-0466",Italian,Yes,+1 212-772-3331,12:00 PM,01:00 AM,12:00 PM,12:00 AM
Ethos gallery 51st,"905 1St Ave New York City, Ny 10022-8009",Seafood; Mediterranean; Greek,Yes,+1 212-888-4060,12:00 PM,12:00 AM,12:00 PM,11:00 PM
The palm tribeca,"206 West St New York City, Ny 10282-2101",Gluten Free Options; Steakhouse; American,Yes,+1 646-395-6393,05:00 PM,11:00 PM,04:00 PM,09:00 PM
Takashi,"456 Hudson St New York City, Ny 10014-3781",Japanese; Barbecue; Asian,No,+1 212-414-2929,05:30 PM,12:00 AM,05:00 PM,10:30 PM
The park room at the helmsley park lane hotel,"36 Central Park S New York City, Ny 10019-1600",American,No,+1 212-521-6655,07:00 AM,11:30 AM,07:00 AM,11:30 AM
Tessa,"349 Amsterdam Ave New York City, Ny 10024-6900",European; American; Mediterranean,No,+1 212-390-1974,11:00 AM,12:00 AM,11:00 AM,11:00 PM
Lure fishbar - new york,"142 Mercer St New York City, Ny 10012-3212",Seafood; Sushi; Soups,Yes,+1 212-431-7676,11:00 AM,12:00 AM,11:00 AM,10:00 PM
Fabio cucina italiana,"214 E 52Nd St New York City, Ny 10022-6207",Italian; Vegetarian Friendly; Gluten Free Options,Yes,+1 212-688-5200,05:00 PM,12:00 AM,05:00 PM,09:30 PM
Gotham bar and grill,"12 E 12Th St New York City, Ny 10003-4428",Vegan Options; Vegetarian Friendly; American,No,+1 212-620-4020,05:00 PM,11:00 PM,05:00 PM,10:00 PM
The nomad bar,10 W 28Th Stthe Nomad Hotelnew York Ny 10001,American; Gastropub; Bar,No,+1 212-796-1500,05:00 PM,02:00 AM,05:00 PM,12:00 AM
Remi,"145 W 53Rd St New York City, Ny 10019-6005",Italian; European; Mediterranean,Yes,+1 212-581-4242,05:00 PM,10:30 PM,05:00 PM,10:00 PM
Blue ribbon federal grill,"84 William St New York City, Ny 10038-4601",Grill; International; American,Yes,+1 212-337-0404,11:30 AM,11:00 PM,11:30 AM,10:00 PM
Cafe zaiya,"18 E 41St St New York City, Ny 10017-6222",Japanese; Cafe,Yes,+1 212-779-0600,10:00 AM,08:00 PM,11:00 AM,07:00 PM
Da noi,"214 E 49Th St New York City, Ny 10017-1565",Italian; Vegetarian Friendly; Gluten Free Options,Yes,+1 212-754-5710,03:00 PM,11:30 PM,03:00 PM,09:00 PM
Noodle village,"13 Mott St New York City, Ny 10013-5025",Chinese; Vegetarian Friendly; Asian,Yes,+1 212-233-0788,10:30 AM,11:00 PM,10:30 AM,11:00 PM
Etcetera etcetera restaurant,"352 W 44Th St New York City, Ny 10036-5419",Italian; Vegetarian Friendly; Mediterranean,Yes,+1 212-399-4141,05:00 PM,11:00 PM,11:30 AM,10:00 PM
Tac n roll,"124 E 4Th St New York City, Ny 10003-0706",International; Fast Food; Mexican,Yes,+1 212-353-0800,01:00 PM,03:00 AM,01:00 PM,10:00 PM
Hummus place upper west side,"305 Amsterdam Ave New York City, Ny 10023-1739",Mediterranean; Middle Eastern; Lebanese,Yes,+1 212-799-3335,11:00 AM,11:00 PM,11:00 AM,11:00 PM
La isla restaurant,"104 Washington St Hoboken, Nj 07030-4604",Caribbean; Spanish; Latin,Yes,+1 201-659-8197,07:00 AM,10:00 PM,10:00 AM,09:00 PM
Carmine's italian restaurant - times square,"200 W 44Th St New York City, Ny 10036-3906",Italian; Desserts; Venues & Event Spaces,Yes,+1 212-221-3800,11:00 AM,12:00 AM,11:00 AM,11:00 PM
Uva,"1486 2Nd Ave New York City, Ny 10075-1399",Wine Bar; Italian; Vegetarian Friendly,Yes,+1 212-472-4552,11:00 AM,02:00 AM,11:00 AM,02:00 AM
La sirene,"558 Broome St New York City, Ny 10013-1508",European; French,No,+1 212-925-3061,05:00 PM,11:30 PM,05:00 PM,10:00 PM
Saigon shack,"114 Macdougal St New York City, Ny 10012-1245",Vietnamese; Vegetarian Friendly; Asian,Yes,+1 212-228-0588,11:00 AM,01:00 AM,11:00 AM,11:00 PM
