Name,Address,Phone,Cuisines,Saturday Opening time,Saturday Closing time,Sunday Opening time,Sunday Closing time,Take Out
Del Frisco's Double Eagle Steak House,"1221 Avenue of the Americas New York City, NY 10020-1001",+1 212-575-5129,American;Steakhouse;Gluten Free Options,5:00 PM,12:00 AM,5:00 PM,10:00 PM,No
Stage Star Deli,"105 W 55th St New York City, NY 10019-5303",+1 212-541-4650,American;Fast Food,6:00 AM,8:00 PM,6:00 AM,8:00 PM,Yes
Mandoo Bar,"2 W 32nd St New York City, NY 10001-3809",+1 212-279-3075,Asian;Korean;Vegetarian Friendly,11:30 AM,10:00 PM,11:30 AM,10:00 PM,Yes
The Malt House,"9 Maiden Ln New York City, NY 10038-4028",+1 646-682-7577,American;Bar;Pub,11:00 AM,3:59 AM,11:00 AM,3:59 AM,Yes
Ceci Italian Cuisine,"46 W 46th St New York City, NY 10036-4508",+1 212-307-5484,Steakhouse;Healthy;Italian,12:00 PM,11:00 PM,12:00 PM,9:00 PM,Yes
Sophie's Cuban Cuisine,"141 Fulton St New York City, NY 10038-2519",+1 212-608-6769,Latin;Cuban;Caribbean,NaN,NaN,NaN,NaN,Yes
Zoob Zib Thai Authentic Noodle Bar,"460 9th Ave New York City, NY 10018-5623",+1 212-971-8530,Asian;Thai;Vegetarian Friendly,11:30 AM,3:30 PM5:00 PM,11:30 AM,3:30 PM5:00 PM,Yes
Tabata Ramen 2,"557 8th Ave New York City, NY 10018-4300",+1 212-465-2418,Japanese;Asian;Soups,11:30 AM,11:00 PM,11:30 AM,11:00 PM,Yes
Charlys,"110 Trinity Pl New York City, NY 10006-1031",+1 212-566-0006,American;Pizza;Fast Food,6:00 AM,6:00 PM,6:00 AM,6:00 PM,Yes
Pizza by Cer te,"132 E 56th St New York City, NY 10022-3628",+1 212-813-2020,Pizza;Italian,NaN,NaN,NaN,NaN,Yes
Saluggi's Sandwich Shoppe,"321 Church St New York City, NY 10013-2202",+1 212-775-1175,Italian,NaN,NaN,NaN,NaN,No
Cafe Today,"575 Lexington Ave New York City, NY 10022-6102",+1 212-308-3206,NaN,NaN,NaN,NaN,NaN,No
Cafe Exchange,"49 Broadway New York City, NY 10006-3041",+1 212-425-5000,Cafe;Fast Food,6:00 AM,7:00 PM,6:00 AM,7:00 PM,No
Havana Central Times Square,"151 W 46th St New York City, NY 10036-8512",+1 212-398-7440,Caribbean;Latin;Spanish,11:30 AM,12:00 AM,11:30 AM,11:00 PM,Yes
B Squared,"679 9th Ave New York City, NY 10036-3618",+1 646-362-3171,Italian;Pizza;Vegetarian Friendly,NaN,NaN,NaN,NaN,Yes
The Paris Cafe,"119 South St New York City, NY 10038-2014",+1 212-240-9797,American;Bar;Pub,11:00 AM,2:00 AM,11:00 AM,11:00 PM,No
Cosi,"60 E 56th St New York City, NY 10022-3204",+1 212-588-1225,Soups;Fast Food;Delicatessen,11:00 AM,7:00 PM,11:00 AM,7:00 PM,No
LoLo's Seafood Shack,"303 W 116th St New York City, NY 10026-2008",+1 646-649-3356,Caribbean;Seafood;Vegetarian Friendly,12:00 PM,9:45 PM,12:00 PM,8:30 PM,Yes
Russian Samovar,"256 W 52nd St New York City, NY 10019-5821",+1 212-757-0168,European;Russian;Eastern European,12:00 PM,4:00 AM,12:00 PM,4:00 AM,Yes
Peacock Alley,"301 Park Ave New York City, NY 10022-6844",+1 212-872-1275,American;Seafood;Vegetarian Friendly,2:30 PM,1:00 AM,2:00 AM,8:00 PM,No
Pappardella,"316 Columbus Ave New York City, NY 10023-1902",+1 212-595-7996,Italian;Vegetarian Friendly;Vegan Options,11:00 AM,12:00 AM,11:00 AM,11:00 PM,Yes
Cafe Metro,"530 Fashion Ave New York City, NY 10018-4878",+1 212-398-8788,American;Cafe,NaN,NaN,NaN,NaN,Yes
Empellon Taqueria,"230 W 4th St New York City, NY 10014-3120",+1 212-367-0999,Mexican;Latin;Gluten Free Options,11:45 AM,12:00 AM,11:45 AM,12:00 AM,Yes
New Kam Lai Chinese Restaurant,"890 Amsterdam Ave New York City, NY 10025-4452",+1 212-749-8388,Chinese,11:00 AM,11:00 PM,12:00 PM,11:00 PM,No
Noodle Pudding,"38 Henry St Brooklyn, NY 11201-1338",+1 718-625-3737,Italian;Vegetarian Friendly;Gluten Free Options,5:30 PM,11:00 PM,5:00 PM,10:00 PM,No
Gabby O'Hara's,"123 W 39th St New York City, NY 10018-3610",+1 212-278-8984,Irish;Bar;Pub,10:00 AM,4:00 AM,10:00 AM,4:00 AM,No
Burger King,"106 Liberty St New York City, NY 10006-1016",+1 212-571-2042,American;Fast Food,6:00 AM,10:00 PM,7:00 AM,10:00 PM,Yes
Taco Mahal,"73 7th Ave S New York City, NY 10014-4043",+1 646-719-1553,Indian;Vegetarian Friendly;Vegan Options,NaN,NaN,NaN,NaN,Yes
Nerai,"55 E 54th St New York City, NY 10022-4206",+1 212-759-5554,Seafood;Mediterranean;Greek,5:00 PM,10:30 PM,5:00 PM,9:30 PM,Yes
Motorino,"349 E 12th St New York City, NY 10003-7212",+1 212-777-2644,Italian;Pizza;Vegetarian Friendly,11:00 AM,1:00 AM,11:00 AM,12:00 AM,Yes
Rocco Steakhouse,"72 Madison Ave New York City, NY 10016-8731",+1 212-696-9660,Italian;Seafood;American,11:00 AM,11:00 PM,11:00 AM,10:30 PM,No
Txikito,"240 9th Ave New York City, NY 10001-6602",+1 212-242-4730,Spanish,12:00 PM,3:00 PM5:00 PM,5:00 PM,11:00 PM,No
Al Horno Lean Mexican Kitchen,"36 Lexington Ave New York City, NY 10010-3609",+1 212-977-1000,Mexican,NaN,NaN,NaN,NaN,No
Tajin,"85 Greenwich St New York City, NY 10006-2205",+1 212-509-5017,Mexican;Latin;Spanish,12:00 PM,9:00 PM,NaN,NaN,Yes
Le Viet Cafe,"1750 2nd Ave New York City, NY 10128-5361",+1 917-388-3897,Asian;Vietnamese,NaN,NaN,NaN,NaN,No
Bobby Van's Central Park South,"40 Central Park S New York City, NY 10019-1633",+1 212-369-4000,American;Steakhouse;Vegetarian Friendly,11:00 AM,11:00 PM,11:00 AM,11:00 PM,No
Pig 'n' Whistle on 2nd,"951 2nd Ave New York City, NY 10022-7756",+1 212-832-2021,American;Bar;Pub,NaN,NaN,NaN,NaN,No
Osteria del Principe,"27 E 23rd St New York City, NY 10010-3639",+1 646-596-7864,Italian;Vegetarian Friendly,11:30 AM,11:00 PM,NaN,NaN,No
Palm Court,"768 5th Ave New York City, NY 10019-1685",+1 212-546-5300,American;Delicatessen;Vegetarian Friendly,6:30 AM,11:00 PM,6:30 AM,11:00 PM,No
Sabor A Mexico II,"233 E 77th St New York City, NY 10075-2054",+1 212-439-8301,Mexican,11:00 AM,11:00 PM,11:00 AM,10:00 PM,Yes
Hunan Park II,"721 Columbus Ave New York City, NY 10025-6659",+1 212-222-6511,Chinese;Asian,11:00 AM,10:00 PM,11:00 AM,10:00 PM,Yes
Lugo Cucina,"1 Penn Plaza New York City, NY 10119-0002",+1 212-760-2700,Italian;Vegetarian Friendly;Gluten Free Options,5:00 PM,11:00 PM,NaN,NaN,No
Ruth's Chris Steak House,"148 W 51st St New York City, NY 10019-6813",+1 212-245-9600,American;Steakhouse;Gluten Free Options,4:00 PM,11:00 PM,4:00 PM,10:00 PM,No
V-Nam Cafe,"20 1st Ave New York City, NY 10009-7907",+1 212-780-6020,Asian;Vietnamese,11:00 AM,2:00 AM,11:00 AM,12:00 AM,No
Blue Ribbon Bakery Market,"14 Bedford St New York City, NY 10014-4717",+1 212-647-0408,NaN,11:30 AM,10:00 PM,11:30 AM,5:30 PM,No
Oceana Restaurant,"120 W 49th Street New York City, NY 10020",+1 212-759-5941,Seafood;Vegetarian Friendly;Vegan Options,5:00 PM,10:00 PM,NaN,NaN,Yes
22 Thai Cuisine,"22 Maiden Ln New York City, NY 10038-4001",NaN,Thai,1:30 PM,9:30 PM,1:30 PM,9:30 PM,No
Der Krung Thai Cuisine,"860 9th Ave New York City, NY 10019-4449",+1 212-397-2036,Asian;Thai;Vegetarian Friendly,12:00 PM,11:00 PM,3:30 PM,11:00 PM,Yes
Fresh & Co,"681 Lexington Ave New York City, NY 10022-2625",+1 212-681-6810,American;Fast Food;Vegetarian Friendly,8:00 AM,8:00 PM,8:00 AM,8:00 PM,Yes
Nippori,"245 W 51st St New York City, NY 10019-6214",+1 646-964-5332,Japanese;Sushi;Asian,12:00 PM,11:30 PM,12:00 PM,11:00 PM,Yes
New York Hot and Fresh Bagels and Deli,"1585 3rd Ave New York City, NY 10128-2631",+1 212-348-4395,NaN,NaN,NaN,NaN,NaN,No
Trademark Taste + Grind,"38 W 36th St New York City, NY 10018-8078",+1 646-858-2320,American;Vegetarian Friendly;Gluten Free Options,7:00 AM,11:00 PM,7:00 AM,11:00 PM,Yes
Nancy Whiskey Pub,"1 Lispenard St New York City, NY 10013-2208",+1 212-226-9943,Bar;Pub,11:00 AM,3:00 AM,12:00 PM,4:00 AM,No
Baby Bo's Cantina,"627 2nd Ave New York City, NY 10016-4864",+1 212-779-2656,Mexican;Latin,12:00 AM,11:59 PM,12:00 AM,11:59 PM,Yes
Becco,"355 W 46th St New York City, NY 10036-3810",+1 212-397-7597,Italian;Vegetarian Friendly;Vegan Options,11:30 AM,3:00 PM4:00 PM,12:00 PM,10:00 PM,No
Cookshop,"156 10th Ave New York City, NY 10011-4758",+1 212-924-4440,American;Vegetarian Friendly;Vegan Options,10:30 AM,10:00 PM,10:30 AM,10:00 PM,Yes
Starlight Deli,"212 W 44th St New York City, NY 10036-3906",+1 212-840-1859,American;Delicatessen,6:00 AM,9:00 PM,7:00 AM,5:00 PM,Yes
Ma Po To Fu,"222 E 53rd St New York City, NY 10022-5205",+1 212-223-3335,NaN,NaN,NaN,NaN,NaN,No
Burger and Barrel,"25 W Houston St New York City, NY 10012-1538",+1 212-334-7320,American;Bar,10:00 AM,12:00 AM,10:00 AM,10:00 PM,Yes
Empellon Cocina,"105 1st Ave New York City, NY 10003-2966",+1 212-780-0999,Mexican;Latin;Spanish,5:30 PM,11:30 PM,5:30 PM,11:30 PM,No
Koyzina Kafe,"62 William St New York City, NY 10005-1520",+1 212-344-9898,American;Greek;Delicatessen,8:00 AM,3:30 PM,8:00 AM,3:30 PM,Yes
Manhattan Chili Co.,"109 E 42nd St New York City, NY 10017-8500",+1 212-682-6644,Mexican,11:00 AM,9:30 PM,11:00 AM,7:00 PM,No
Sal's Little Italy,"384 Broome St New York City, NY 10013-3749",+1 212-925-0440,Italian;Pizza,11:30 AM,10:00 PM,11:30 AM,10:00 PM,Yes
Patsy's Pizza--74th Street,"61 W 74th St New York City, NY 10023-2433",+1 212-579-3000,Italian;Pizza;Vegetarian Friendly,11:00 AM,12:00 AM,11:30 AM,10:00 PM,Yes
cafeteria,"119 7th Avenue New York New York City, NY 10010",+1 212-414-1717,American;Bar;Vegetarian Friendly,12:00 AM,11:59 PM,12:00 AM,11:59 PM,Yes
Jongro BBQ,"22 W 32nd St New York City, NY 10001-3807",+1 212-473-2233,Barbecue;Asian;Korean,11:30 AM,4:00 AM,11:30 AM,2:00 AM,Yes
Balvanera,"152 Stanton St New York City, NY 10002-1603",+1 212-533-3348,Argentinean;Steakhouse;Latin,11:00 AM,12:00 AM,11:00 AM,10:00 PM,No
Black Shack Burger,"320 Lexington Ave New York City, NY 10016-2645",+1 212-213-0042,American,11:00 AM,10:00 PM,11:00 AM,10:00 PM,Yes
Brother Jimmy's BBQ,"181 Lexington Ave New York City, NY 10016-6817",+1 212-779-7427,American;Bar;Barbecue,11:00 AM,4:00 AM,11:00 AM,4:00 AM,Yes
Soba Nippon,"19 W 52nd St New York City, NY 10103-0001",+1 212-489-2525,Japanese;Sushi;Asian,12:00 PM,10:00 PM,5:30 PM,10:00 PM,No
ABC Cocina,"38 E 19th St New York City, NY 10003",+1 212-475-5829,Mexican;Latin;Spanish,5:30 PM,12:00 AM11:00 AM,5:30 PM,10:30 PM11:00 AM,No
Omai,"158 9th Ave New York City, NY 10011-4912",+1 212-633-0550,Asian;Vietnamese,11:30 AM,11:00 PM,5:00 PM,10:00 PM,Yes
Jake’s @ The Knick,"6 Times Square New York City, NY 10036",+1 212-204-4982,American;Cafe,NaN,NaN,NaN,NaN,Yes
Signature Cafe and Bar,"480 W 42nd St New York City, NY 10036-6805",NaN,American,12:00 PM,12:00 AM,12:00 PM,12:00 AM,No
Nomo Soho Restaurant,"9 Crosby Street New York City, NY 10013",+1 646-218-6499,American;Vegetarian Friendly;Vegan Options,12:00 AM,11:59 PM,12:00 AM,11:59 PM,No
Subway,"136 W 44th St New York City, NY 10036-4065",+1 212-840-0792,American;Fast Food,NaN,NaN,NaN,NaN,Yes
Bevacco,"60 Henry St Brooklyn, NY 11201-6852",+1 718-624-1444,Italian;Vegetarian Friendly;Gluten Free Options,10:30 AM,12:00 AM,10:30 AM,12:00 AM,No
The Blue Water Grille,"17th Street New York City, NY",+1 917-809-7809,Seafood,11:30 AM,12:00 AM,10:30 AM,10:00 PM,No
Club Macanudo,"26 E 63rd St New York City, NY 10065-8030",+1 212-752-8200,American;International,12:00 PM,2:00 AM,12:00 PM,10:00 PM,No
Wowfulls,"309 E Houston St New York City, NY 10002-1113",+1 646-639-9988,NaN,1:00 PM,9:00 PM,1:00 PM,9:00 PM,No
Gong Cha Koreatown,"12 W 32nd St New York City, NY 10001-3813",+1 212-465-0852,American,NaN,NaN,NaN,NaN,No
Shun Lee Palace,"155 E 55th St New York City, NY 10022-4038",+1 212-371-8844,Chinese;Asian;Vegetarian Friendly,12:00 PM,11:00 PM,12:00 PM,10:30 PM,Yes
Catch,"21 9th Ave New York City, NY 10014-1203",+1 212-392-5978,Japanese;American;Seafood,11:00 AM,12:00 AM,11:00 AM,11:30 PM,No
U Way Cafe,"74 5th Ave New York City, NY 10011-8005",+1 212-989-1313,Japanese;Cafe;Sushi,7:00 AM,11:00 PM,7:00 AM,8:00 PM,No
16 Handles,"325 Amsterdam Ave New York City, NY 10023-8206",+1 646-861-1281,NaN,NaN,NaN,NaN,NaN,No
Little Basil,"153 E 26th St New York City, NY 10010-1822",+1 212-689-1444,Asian;Thai;Vegetarian Friendly,5:00 PM,10:00 PM,5:00 PM,10:00 PM,Yes
Havana Social,"688 10th Ave New York City, NY 10019-7104",+1 212-956-2155,Cuban;Latin;Caribbean,12:00 PM,12:00 AM,12:00 PM,12:00 AM,Yes
El Maguey y La Tuna,"321 E Houston St New York City, NY 10002-1138",+1 212-473-3919,Mexican;Latin;Spanish,11:00 AM,11:00 PM,NaN,NaN,Yes
Joy Curry and Tandoor,"32 W 39th St New York City, NY 10018-3810",+1 646-559-7527,Indian,11:00 AM,10:00 PM,12:00 PM,10:00 PM,No
Just Salad,"325 Hudson St New York City, NY 10013-1045",NaN,NaN,NaN,NaN,NaN,NaN,No
Au Bon Pain,"599 Lexington Ave New York City, NY 10022-6030",+1 212-355-4815,American,7:00 AM,7:00 PM,7:00 AM,7:00 PM,No
Black Iron Burger,"245 W 38th St New York City, NY 10018-4509",+1 646-476-3116,American;Bar;Vegetarian Friendly,12:00 PM,8:00 PM,12:00 PM,9:00 PM,Yes
Ed's Chowder House,"44 W 63rd St New York City, NY 10023-7029",+1 212-956-1288,American;Seafood;Soups,NaN,NaN,NaN,NaN,Yes
Kang Ho Dong Baekjeong,"1 E 32nd St New York City, NY 10016-5401",+1 212-966-9839,Barbecue;Asian;Korean,11:30 AM,6:00 AM,11:30 AM,2:00 AM,No
Cafe Mezz,"246 Spring St New York City, NY 10013-1521",(212) 842-5500,NaN,6:30 AM,11:30 PM,6:30 AM,10:00 PM,No
The Strand Bistro,"33 W 37th St New York City, NY 10018-6201",+1 646-368-6397,American,7:00 AM,11:00 AM6:00 PM,7:00 AM,11:00 AM6:00 PM,No
Rock Center Cafe,"Rockefeller Center New York City, NY 10020",+1 212-332-7620,American;Vegetarian Friendly;Vegan Options,10:00 AM,12:00 AM,10:00 AM,11:00 PM,No
99 Cents Fresh Pizza,"1723 Broadway New York City, NY 10019-5214",+1 212-245-2155,Italian;Pizza;Fast Food,12:00 AM,11:59 PM,12:00 AM,11:59 PM,Yes
Zio Ristorante,"17 W 19th St New York City, NY 10011-4332",+1 212-352-1700,Italian;Mediterranean;Gluten Free Options,11:30 AM,11:30 PM,11:30 AM,11:00 PM,No
St. Anselm,"355 Metropolitan Ave Brooklyn, NY 11211-3309",718-384-5054,American;Steakhouse,5:00 PM,12:00 PM,5:00 PM,11:00 PM,No
Trader Joe,"142 E 14th St New York City, NY 10003-4170",+1 212-529-4612,Delicatessen;Vegetarian Friendly;Gluten Free Options,8:00 AM,10:00 PM,8:00 AM,10:00 PM,Yes
Obao,"222 E 53rd St New York City, NY 10022-5205",+1 212-308-5588,Vietnamese;Vegetarian Friendly;Vegan Options,11:30 AM,12:00 AM,11:30 AM,11:00 PM,Yes
The Hog Pit,"37B W 26th St New York City, NY 10010-1003",+1 212-213-4871,American;Bar;Barbecue,11:30 AM,4:00 AM,11:30 AM,4:00 AM,Yes
OCabanon,"245 W 29th St New York City, NY 10001-5208",+1 646-669-7879,French;European;Wine Bar,11:00 AM,12:00 AM,11:00 AM,12:00 AM,Yes
Pasta Lovers,"142 W 49th St New York City, NY 10019-6802",+1 212-819-1155,Italian;Pizza;Vegetarian Friendly,11:30 AM,12:00 AM,11:30 AM,11:00 PM,Yes
Ryan Maguire's Ale House,"28 Cliff St New York City, NY 10038-2852",+1 212-566-6906,American;Irish;Bar,11:00 AM,11:59 PM12:00 PM,11:00 AM,11:59 PM12:00 PM,Yes
Bobwhite Lunch and Supper Counter,"94 Avenue C New York City, NY 10009-6947",+1 212-228-2972,American,12:00 PM,11:00 PM,12:00 PM,10:00 PM,Yes
Eastwood,"221 E Broadway New York City, NY 10002-5605",+1 212-233-9124,NaN,10:00 AM,4:00 AM,10:00 AM,4:00 AM,No
Shakespeare & Co,"939 Lexington Ave New York City, NY 10065-5771",+1 212-772-3400,NaN,NaN,NaN,NaN,NaN,No
The Egg Shop,"151 Elizabeth St New York City, NY 10012-4602",+1 646-666-0810,American;Cafe;Vegetarian Friendly,8:00 AM,4:00 PM5:00 PM,8:00 AM,4:00 PM,Yes
Chipotle Mexican Grill,"275 Greenwich St New York City, NY 10007-2150",+1 646-412-3981,Mexican,11:00 AM,10:00 PM,11:00 AM,10:00 PM,No
Hunan Manor Restaurant,"339 Lexington Ave New York City, NY 10016-0991",+1 212-682-2883,Chinese;Asian,12:00 PM,10:00 PM,12:00 PM,10:00 PM,Yes
Injera Ethiopian Restaurant,"11 Abingdon Sq New York City, NY 10014-1875",+1 212-206-9330,African;Ethiopian;Vegetarian Friendly,11:30 AM,2:00 AM,11:30 AM,12:30 AM,Yes
El Castillo De Jagua,"113 Rivington St Ste 1 New York City, NY 10002-2203",+1 212-982-6412,Caribbean;Spanish;Puerto Rican,7:00 AM,11:00 PM,7:00 AM,11:00 PM,Yes
Cafe Manhattan,"35 W 45th St between 5th and 6th avenue New York City, NY 10036",+1 212-921-1515,American;Cafe;Delicatessen,9:00 AM,8:00 PM,9:00 AM,8:00 PM,Yes
Josie Woods,"11 Waverly Pl New York City, NY 10003-6722",+1 212-228-6806,NaN,11:00 AM,4:00 AM,12:00 PM,12:00 AM,No
Parm,"235 Columbus Ave New York City, NY 10023-4003",+1 212-776-4921,Italian,11:30 AM,11:00 PM,11:30 AM,10:00 PM,Yes
Da Nico Ristorante,"164 Mulberry St New York City, NY 10013-3750",+1 212-343-1212,Italian;Pizza;Vegetarian Friendly,12:00 PM,12:00 AM,12:00 PM,11:00 PM,Yes
Pret A Manger,"2 Park Ave New York City, NY 10016-5675",+1 646-360-1630,NaN,9:00 AM,5:00 PM,9:00 AM,5:00 PM,No
Jean Claude 2,"1343 2nd Ave New York City, NY 10021-5225",+1 212-249-3400,French;European,11:00 AM,4:00 PM5:00 PM,11:00 AM,4:00 PM5:00 PM,No
Little Italy Pizza,"2047 Broadway New York City, NY 10023-3702",NaN,Pizza;Italian;Fast Food,12:00 AM,11:59 PM,12:00 AM,11:59 PM,Yes
Cosi,"369 Lexington Ave New York City, NY 10017-6506",+1 212-490-8989,Cafe,NaN,NaN,NaN,NaN,Yes
Lucien Restaurant,"14 1st Ave New York City, NY 10009-7904",+1 212-260-6481,French;European,11:00 AM,2:00 AM,11:00 AM,2:00 AM,No
Woodrow's,"43 Murray St New York City, NY 10007-2217",+1 212-676-0300,American;Bar;Pub,11:00 AM,2:00 AM,11:00 AM,1:00 AM,No
Walker's,"16 N Moore St New York City, NY 10013-2415",+1 212-941-0142,American;Bar;Pub,11:00 AM,3:45 AM,11:00 AM,3:45 AM,Yes
Jules Bistro,"65 Saint Marks Pl New York City, NY 10003-7913",+1 212-477-5560,French;European;Vegetarian Friendly,11:00 AM,1:00 AM,11:00 AM,1:00 AM,No
Cafe Duke,"545 Broadway New York City, NY 10012-3921",+1 917-237-1575,Cafe;Fast Food;Vegetarian Friendly,12:00 AM,11:59 PM,12:00 AM,11:59 PM,No
Houndstooth Pub,"520 8th Ave New York City, NY 10018-6507",+1 212-643-0034,American;Bar;Pub,11:30 AM,2:00 AM,11:00 AM,2:00 AM,No
Ivy Bar & Grill,"944 8th Ave New York City, NY 10019-4252",+1 212-459-9444,American;Bar;Pub,11:30 AM,4:00 AM,11:30 AM,4:00 AM,No
Villa Fresh Italian Kitchen,"662 8th Ave New York City, NY 10036-7104",+1 212-302-2941,Italian;Pizza;Fast Food,NaN,NaN,NaN,NaN,Yes
Subway,"32 E 23rd St New York City, NY 10010-4401",+1 212-677-4608,NaN,NaN,NaN,NaN,NaN,No
Jane,"100 W Houston St New York City, NY 10012-2547",+1 212-254-7000,American;Gluten Free Options;Vegetarian Friendly,9:00 AM,12:00 AM,9:00 AM,10:00 PM,Yes
Cafe Bravo,"11 Hanover Sq New York City, NY 10005-2818",+1 212-785-8383,Cafe;Fast Food,NaN,NaN,NaN,NaN,Yes
Joseph's,"1240 Avenue of the Americas New York City, NY 10020-1505",+1 212-332-1515,American;Seafood,7:00 AM,11:00 PM,9:00 AM,9:00 PM,No
Chipotle Mexican Grill,"1288 1st Ave New York City, NY 10021-5569",+1 646-213-9431,Mexican,11:00 AM,10:00 PM,11:00 AM,10:00 PM,No
Cowgirl Seahorse,"259 Front St New York City, NY 10038-1716",+1 212-608-7873,American;Southwestern;Bar,10:00 AM,12:00 AM,10:00 AM,11:00 PM,Yes
Uno Pizzeria & Grill,"432 81st Street, Columbus Ave New York City, NY 10024",+1 212-595-4700,Italian;American;Bar,11:00 AM,1:00 AM,11:00 AM,12:00 AM,Yes
Don Pepi Deli,"Penn Station Amtrak Level New York City, NY 10001",+1 212-760-0820,Fast Food,6:00 AM,10:00 PM,6:00 AM,10:00 PM,No
Roberta's,"230 Park Ave New York City, NY 10169-0005",NaN,Italian,11:00 AM,5:00 PM,11:00 AM,5:00 PM,No
Juliana's Pizza,"19 Old Fulton St Brooklyn, NY 11201-1322",+1 718-596-6700,Pizza,11:30 AM,3:15 PM4:00 PM,11:30 AM,3:15 PM4:00 PM,Yes
State Grill and Bar,"21 W 33rd St New York City, NY 10118-0110",+1 212-216-9693,American;Vegetarian Friendly;Gluten Free Options,5:00 PM,10:00 PM,NaN,NaN,No
Georgia's Eastside BBQ,"192 Orchard St New York City, NY 10002-1410",+1 212-253-6280,American;Barbecue,12:00 PM,11:00 PM,12:00 PM,10:00 PM,Yes
Norma's,"119 W 56th St New York City, NY 10019-4000",+1 212-708-7460,American;Vegetarian Friendly;Vegan Options,7:30 AM,3:00 PM,7:30 AM,3:00 PM,No
Vintry Wine and Whiskey,"57 Stone St New York City, NY 10004-2604",+1 212-480-9800,Wine Bar;American;Bar,12:00 PM,4:00 AM,12:00 PM,1:00 AM,No
Keko Cafe,"121 Madison Ave New York City, NY 10016-7033",+1 212-685-4360,Cafe;American,8:00 AM,6:00 PM,NaN,NaN,Yes
Ulysses,"95 Pearl St New York City, NY 10004-2602",+1 212-482-0400,American;Irish;Bar,11:00 AM,3:59 AM,11:00 AM,3:59 AM,No
Joes Jr.,"167 3rd Ave New York City, NY 10003-2522",+1 212-473-5150,American;Diner,6:00 AM,11:30 PM,6:00 AM,11:30 PM,Yes
Popeyes Louisiana Kitchen,"240 W 40th St New York City, NY 10018-1510",+1 212-764-7071,NaN,NaN,NaN,NaN,NaN,Yes
Makana,"2245 1st Ave New York City, NY 10029-1646",+1 212-996-3534,Sushi,11:00 AM,10:30 PM,12:00 PM,10:00 PM,No
Nino's Restaurant,"1354 1st Ave New York City, NY 10021-4426",+1 212-988-0002,Italian;Gluten Free Options,4:00 PM,11:30 PM,4:00 PM,10:00 PM,No
Puglia Restaurant,"189 Hester St New York City, NY 10013-4776",+1 212-966-6006,Italian;Pizza;Vegetarian Friendly,11:30 AM,11:00 PM,11:30 AM,11:00 PM,Yes
Deli Plus,"625 8th Ave New York City, NY 10018-1415",+1 212-244-5678,NaN,6:00 AM,11:00 PM,6:00 AM,11:00 PM,No
Hillstone Midtown,"153 E 53rd St New York City, NY 10022-4611",+1 212-888-3828,American;Sushi;Vegetarian Friendly,12:00 PM,11:00 PM,12:00 PM,10:00 PM,Yes
Kingsley,"190 Avenue B New York City, NY 10009-3600",+1 212-674-4500,American;Contemporary,12:00 PM,12:00 AM,12:00 PM,12:00 AM,No
Avenue,"116 10th Ave New York City, NY 10011-4704",+1 212-337-0054,NaN,11:00 PM,4:00 AM,NaN,NaN,No
Fresh and Co.,"1211 6th Ave New York City, NY 10036-8701",+1 212-768-8080,Vegetarian Friendly;Vegan Options,8:00 AM,8:00 PM,8:00 AM,8:00 PM,Yes
Queen of Sheba,"650 10th Ave New York City, NY 10036-2918",+1 212-397-0610,African;Ethiopian;Vegetarian Friendly,11:30 AM,12:00 AM,11:30 AM,12:00 AM,Yes
Ellis Island Cafe,"Ellis Island Museum of Immigration New York City, NY 10004",NaN,Cafe;Vegan Options,9:00 AM,5:00 PM,9:00 AM,5:00 PM,Yes
La Bonne Soupe,"48 W 55th St New York City, NY 10019-5313",+1 212-586-7650,French;European;Soups,11:30 AM,11:30 PM,11:30 AM,10:30 PM,No
Terroir,"413 E 12th St New York City, NY 10009-4029",+1 646-602-1300,American;Wine Bar,5:00 PM,2:00 AM,5:00 PM,12:00 AM,No
Hale & Hearty,"2284 Broadway New York City, NY 10024-4902",+1 212-721-4900,NaN,NaN,NaN,NaN,NaN,No
The Vieux Restaurante & Lounge en El Hotel Marriot Marquise,"Hotel Marriot Marquise en Time Square New York City, NY",NaN,NaN,NaN,NaN,NaN,NaN,No
The Grisly Pear,"107 Macdougal St New York City, NY 10012-1242",+1 212-529-3808,Bar;Pub,12:00 PM,4:00 AM,12:00 PM,4:00 AM,No
Trinity Place,"115 Broadway New York City, NY 10006-1604",+1 212-964-0939,American;Bar;Pub,NaN,NaN,NaN,NaN,No
Hale and Hearty Soups,"111 Fulton St New York City, NY 10038-2711",+1 646-454-0052,Soups,11:00 AM,6:00 PM,11:00 AM,6:00 PM,No
Chick-fil-A,"5 University Pl New York City, NY 10003-4534",+1 212-998-4216,American;Fast Food,11:00 AM,3:00 PM,NaN,NaN,No
Pietrasanta Restaurant,"683 9th Ave New York City, NY 10036-3683",+1 212-265-9471,Italian;Vegetarian Friendly;Gluten Free Options,11:30 AM,12:00 PM,11:30 AM,11:00 PM,Yes
Calle Dao,"38 W 39th St New York City, NY 10018-3800",+1 212-221-9002,Chinese;Latin;Asian,11:00 AM,12:00 AM,11:00 AM,11:00 PM,Yes
MIMI,"185 Sullivan St New York City, NY 10012-2508",+1 212-418-1260,French,6:00 PM,2:00 AM,12:00 PM,4:00 PM,No
